huccode,HUC12 name,SUM of ClimRankAve ByArea,SUM of ConnRankAveByArea,SUM of RareCountAveByArea,SUM of RareAmphAveByArea,SUM of RarePlantAveByArea,Apr1SWE,Coho score,Cascades frog score,aspen score,darlingtonia score,Inventoried MdwPercent (/100),inventoried mdw acres,MdwNEPA percent,MdwNEPA Ac,Fire percent,Fire Ac,LMMhigh percent,LMMhigh Ac,LMMmed Percent,LMMmed Ac,EFM percent,EFM_Ac,Federal Land Percent,Feds_Ac,,,,,,,,,,,,,
1.80102E+11,Boulder Creek-Scott River,4.683798072,2.709541325,7.402831852,1.353128745,1.678031682,84.48,0,0,2,0,0.01233,158.28,0.000000000,,0.00387982003,49.81425095,0.003192896,40.99461899,0.013736608,176.37,0.1598624,2052.524202,0.5452697,7000.892222,,,,,,,,,,,,,
1.80102E+11,Canyon Creek,4.139933652,3.248389483,7.957679921,1.984995767,3.638954662,404.53,3,2,2,0,0.00758,120.00,0.000000000,,0.01352810691,214.2063446,0.007845020,124.2193867,0.031217554,494.30,0.0000000,,0.9849802,15596.34384,,,,,,,,,,,,,
1.80102E+11,Clark Creek-Scott River,2.614090722,3.20667269,3.14359357,0.113572755,0.941417862,20.33,0,0,0,0,0.00006,0.58,0.000000000,,0.00000000000,,0.000296361,3.046398748,0.006021864,61.90,0.0399540,410.7014691,0.0161745,166.263417,,,,,,,,,,,,,
1.80102E+11,Etna Creek,4.526075841,3.161249888,2.782797046,0.310717442,0.424483457,184.56,4,2,2,0,0.00323,55.78,0.000000000,,0.00000000000,,0.001077526,18.58205954,0.006898166,118.96,0.1362699,2349.988963,0.4514524,7785.346229,,,,,,,,,,,,,
1.80102E+11,French Creek,4.156255843,2.921309079,6.727975104,1.980234945,2.664040257,148.44,4,2,2,2,0.00727,154.95,0.000000000,,0.00094488597,20.13542557,0.008801019,187.5488254,0.038048374,810.81,0.1352841,2882.89125,0.2834484,6040.256521,,,,,,,,,,,,,
1.80102E+11,Hamlin Gulch-Scott River,1.519322769,2.27476265,2.240201529,0,0.686357049,1.35,0,0,0,0,0.00000,0.00,0.000000000,,0.00000000000,,0.000097797,3.165928781,0.001257878,40.72,0.0000000,,0.0000000,,,,,,,,,,,,,,
1.80102E+11,Indian Creek,3.816555972,2.642127124,2.925017167,0.118414732,0.728652035,29.03,0,0,0,0,0.00105,12.27,0.000000000,,0.02935747345,343.4152107,0.001124667,13.15602942,0.012617011,147.59,0.0000000,,0.6894808,8065.346684,,,,,,,,,,,,,
1.80102E+11,Kelsey Creek,3.963270671,3.354332071,4.662645367,1.501196824,1.418541548,374.52,3,0,0,0,0.07226,822.65,0.000000000,,0.00694426433,79.05281067,0.001693880,19.28296147,0.011326648,128.94,0.0000000,,0.9920727,11293.65683,,,,,,,,,,,,,
1.80102E+11,Kidder Creek,4.183514349,2.19170625,3.161369013,0.90176413,0.627741087,174.06,5,2,2,0,0.00569,126.59,0.000000000,,0.41747044804,9287.21875,0.001513584,33.67180451,0.007645167,170.08,0.3170555,7053.347745,0.3605204,8020.283893,,,,,,,,,,,,,
1.80102E+11,Lower East Fork Scott River,4.046484639,2.885258867,10.60387878,1.386677297,5.767077765,272.13,4,2,0,2,0.01051,214.21,0.035781058,729.5120893,0.05650483863,1152.033081,0.003485099,71.05496231,0.019755658,402.78,0.0000000,,0.5029471,10254.19651,,,,,,,,,,,,,
1.80102E+11,Lower Moffett Creek,2.987064612,3.124764336,2.795406125,0.002740405,1.503673602,18.70,1,0,0,0,0.00172,51.28,0.000000000,,0.00000000000,,0.001210540,36.19404644,0.007791238,232.95,0.0000000,,0.0735827,2200.055945,,,,,,,,,,,,,
1.80102E+11,McAdam Creek,3.874664831,2.966715183,4.442019513,0.003073032,1.908279618,25.96,0,0,0,0,0.00005,0.80,0.000000000,,0.03229048328,555.9752808,0.000353033,6.078496017,0.004926575,84.83,0.0000000,,0.5066156,8722.871547,,,,,,,,,,,,,
1.80102E+11,McConaughy Gulch,1.65771504,3.177525869,0.728588747,0,0.172850975,16.32,0,2,0,2,0.00000,0.00,0.000000000,,0.00000000000,,0.001739469,23.19324001,0.018077168,241.03,0.0000000,,0.0000000,,,,,,,,,,,,,,
1.80102E+11,Mill Creek,4.195840507,3,4.843890728,1.516958197,0.300396503,15.31,3,0,0,0,0.00058,8.34,0.000000000,,0.27454330700,3924.525192,0.000157594,2.252764683,0.004390866,62.77,0.0000000,,0.4722401,6750.549124,,,,,,,,,,,,,
1.80102E+11,Noyes Valley Creek,2.098763479,3.2173709,3.908175369,0.012710411,1.438182898,55.93,1,2,0,2,0.00665,110.51,0.000000000,,0.19539311274,3249.354248,0.000986980,16.41330827,0.013595984,226.10,0.0000000,,0.0487451,810.6225501,,,,,,,,,,,,,
1.80102E+11,Oro Fino Creek-Scott River,3.169523501,2.668724441,2.997268529,0.014926853,0.042206598,6.89,0,0,0,0,0.00002,0.43,0.000000000,,0.00000000000,,0.000998132,25.29276503,0.010594797,268.47,0.0000000,,0.1063596,2695.163416,,,,,,,,,,,,,
1.80102E+11,Patterson Creek,4.556912174,1.723204906,4.314384491,0.217438888,0.74920879,51.12,4,0,0,0,0.00013,3.06,0.000000000,,0.17302173233,4179.599477,0.000031711,0.766023665,0.001178434,28.47,0.3511059,8481.490743,0.1824694,4407.823171,,,,,,,,,,,,,
1.80102E+11,Shackleford Creek,3.732161693,2.357401699,5.720886019,1.172488173,2.377720566,176.31,4,2,2,2,0.02694,731.21,0.000000000,,0.01218776687,330.7636833,0.007355135,199.610926,0.020466209,555.43,0.3487789,9465.508177,0.3525880,9568.882557,,,,,,,,,,,,,
1.80102E+11,Sniktaw Creek-Scott River,3.695585054,3.085722385,3.229636172,0.116200828,0.861313479,29.86,0,0,0,0,0.00092,11.25,0.000000000,,0.00544905025,66.82480919,0.000573122,7.028527326,0.008472430,103.90,0.2752135,3375.10053,0.0111536,136.7826518,,,,,,,,,,,,,
1.80102E+11,South Fork Scott River,4.185017721,2.347440939,7.421731901,2.460787727,2.332563329,342.63,4,2,2,2,0.01031,290.41,0.000000000,,0.48564115932,13682.61914,0.011651672,328.2781788,0.045542700,"1,283.14",0.0227546,641.0959759,0.7707342,21714.92808,,,,,,,,,,,,,
1.80102E+11,Sugar Creek-Scott River,3.257524421,2.851352739,6.32819454,1.043508537,3.019386278,83.32,4,2,0,2,0.00112,28.03,0.000000000,,0.00000000000,,0.001815604,45.33014168,0.017059287,425.92,0.1830695,4570.69245,0.2833682,7074.847961,,,,,,,,,,,,,
1.80102E+11,Tompkins Creek-Scott River,4.585671863,2.492882165,3.626207595,1.331490202,0.191317033,90.64,3,0,0,0,0.00044,7.84,0.000000000,,0.07137180463,1258.679602,0.000400235,7.058364041,0.004422536,77.99,0.0000000,,0.9754329,17202.27547,,,,,,,,,,,,,
1.80102E+11,Town of Scott Bar-Scott River,4.118857588,2.730109611,4.898386578,1.165026645,0.469665602,21.98,2,2,0,0,0.00060,15.52,0.000000000,,0.19709372000,5063.53279,0.001797506,46.17969634,0.012180896,312.94,0.0000000,,0.6592303,16936.27846,,,,,,,,,,,,,
1.80102E+11,Upper East Fork Scott River,3.474984948,3.086053728,9.208604642,0.791330567,4.892829944,300.36,4,2,0,2,0.00671,247.56,0.035631875,1315.236652,0.07453635805,2751.271141,0.008692487,320.8553442,0.049732677,"1,835.72",0.0000000,,0.2521485,9307.253672,,,,,,,,,,,,,
1.80102E+11,Upper Moffett Creek,2.840664021,2.797803448,1.654390012,0,0.279745266,37.97,0,0,0,2,0.00014,4.34,0.000000000,,0.06835362814,2174.104028,0.003913215,124.4664817,0.017368638,552.44,0.0000000,,0.0049499,157.4403761,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
