huccode,name,Federal ownership (%),"Recent fire (% area, 10yr)",Unburned 30yr (%),High severity fire (% area),Moderate-high severity fire (% area),"Recent fire (% area, 3yr)",Reburn area (% area),Climate resiliency index,Lost meadow potential (% area),Fish of concern (# spp),Rare amphibian richness,Native fish richness (# spp),Coho salmon present,Chinook salmon present,Steelhead/rainbow trout present,Coastal cutthroat trout present,Salmonid species (# spp),Climate refugia score,Terrestrial connectivity rank,"Snowpack (peak SWE, mm)",Wildfire hazard potential,"Summer water stress (CWD, mm)",Meadow density (% area)
1805000503,Tomales Bay-Bodega Bay,5.4404541401361115,0,100,0,0,0,0,-0.12192997336387634,0,3,3,14,1,0,1,0,2,0.22190111386807607,3.625973266659388,0,198.17689514160156,774.86395263671875,0
1801020705,Yreka Creek-Shasta River,11.921698251018933,0,100,0,0,0,0,-0.6323244571685791,0.0405481482189895,3,1,9,1,1,1,0,3,0.2763511628124976,1.9691085296683084,1.6068778038024902,909.5381469726564,674.815185546875,0
1802011504,Middle Stony Creek,44.55627255332006,47.14061085723205,52.73387986886953,6.504593789577484,8.299873024225235,0,0,0.9954121708869934,1.469843046638458,0,1,7,0,0,1,0,1,0.8596612255881024,3.303248902891066,3.605186700820923,3167.77587890625,666.93206787109375,0
1801010101,North Fork Smith River,42.85900695562772,25.4103108686757,68.86488487492784,9.86342802643776,16.958625614643097,18.992970883846283,0,0.6949843168258667,0.01380218540124393,5,0,9,1,1,1,1,5,0,2.1652842564956054,7.029212951660156,2931.88232421875,404.32861328125,0
1805000101,Wooden Valley Creek-Frontal Suisun Bay Estuaries,0,21.575545062529827,78.42445493747017,0,0,0,0,-0.25575268268585205,0,3,2,20,0,0,1,0,1,0.5493030692218667,3.4663662019412427,0,284.669189453125,795.1370849609375,0
1802016204,Middle Putah Creek,58.119513127673585,77.98939491144813,21.965686970967624,0,0,0,0,0.801105797290802,0,0,2,7,0,0,1,0,1,0.543689528303353,3.988764232745872,0,488.7850036621094,672.8006591796875,0
1802016202,Pope Creek,18.66011252061655,59.29709555832094,40.70290444167972,3.229319304227829,6.27792626619339,0,0,0.5531058311462402,0,0,2,6,0,0,1,0,1,0.45283732729878,4.396553680689385,0,855.720703125,676.2669677734375,0
1802016201,Eticuera Creek,26.043250826654496,76.43082943853103,4.854114125980102,0,0,0,0,1.216099739074707,0,0,1,6,0,0,1,0,1,0.5329656887749294,4.086519722983508,0,3938.840576171875,710.6875,0
1802016203,Upper Putah Creek,16.818037376070432,33.05086602570105,23.244748876472375,0.3983747214078903,0.7132407277822495,0,0,0.4747697412967682,0,0,3,6,0,0,1,0,1,0.5232661107016142,4.1173573997786,0.05328155308961868,2460.802490234375,699.9732666015625,0
1801020603,Copco Reservoir-Klamath River,21.711190167771303,0,75.17642155073318,0,0,0,0,0.19944635033607483,0.02549143495382859,2,0,9,0,0,1,0,1,0.508936031155131,3.9537800974475745,53.26301574707031,851.44744873046875,582.2340087890625,0
1801020606,Cottonwood Creek,6.043986392656805,25.168937701982525,74.83106229801749,10.677263885736464,20.841142535209656,0,0,0.00490143895149231,7.791218639522291e-5,3,1,8,1,1,1,0,3,0.4553363134154302,3.397303752247322,20.05023765563965,1521.1539306640625,569.72259521484375,0
1801020602,John C Boyle Reservoir-Klamath River,3.591489190648843,1.3561619299065806,93.64845054674066,0,0,0,0,0.13457916676998138,0,2,0,9,0,0,1,0,1,0.4074389813389442,4.385476894652082,20.24286651611328,1538.0543212890625,596.0548095703125,0
1801020604,Jenny Creek,0.4643623868838109,0,98.32744644853548,0,0,0,0,0.01532345078885555,0,2,0,8,0,1,1,0,2,0.13051609128395586,3.4566221489865767,80.78975677490234,1434.233154296875,561.0804443359375,0
1801010102,Middle Fork Smith River,96.9083039152124,64.32990699476169,24.19146479209622,18.57757717370987,30.541840195655823,43.48554313182831,0.5441515240818262,0.692302405834198,0.08273648321782054,5,5,9,1,1,1,1,5,0.04183122444630853,3.006891433532428,23.037717819213867,2952.385009765625,277.8614807128906,0
1801010103,South Fork Smith River,93.16337336514869,18.272933939406883,69.2924388894949,5.271027982234955,8.14567506313324,6.232908740639687,0.06958242738619447,0.9181055426597596,0.1003191205560991,5,3,11,1,1,1,1,5,0.1623426192432538,3.2652040192032312,36.45576095581055,3700.966796875,282.0121154785156,0
1801010104,Smith River,32.42087509642522,0.0266659919213817,99.97333400807862,0,0,0,0,0.26314473152160645,2.9053652343507888,7,4,19,1,1,1,1,6,4.364688567501712e-4,2.535223529357889,0.02466347254812717,588.74066162109375,335.25933837890625,0
1801010201,Redwood Creek,42.88010037930425,1.860458741466582e-4,98.99146747946078,7.419973371725064e-4,0.00197607478185091,0.0071776150434743604,0,0.4482176601886749,0.8064417369204608,5,4,16,1,1,1,1,7,0.4761730434157519,2.861747119694654,2.967545509338379,829.55029296875,297.68804931640625,0.00315703248768094
1801010202,Upper Mad River,87.66094682870914,94.72964472425812,2.4245062494762215,0.00140065521918586,0.01112056343117728,0,0,0.5494274497032166,2.388069912844075,0,1,4,0,0,1,0,1,0.5270448674920426,1.9204962514220696,15.769100189208984,198.0842132568359,325.5748596191406,0.33070563025583183
1801010203,Middle Mad River,65.2298621512429,5.3236937132987805,64.51518997081497,0,0,0,0,0.25652968883514404,0.5259653137804635,2,1,6,1,0,1,0,2,0.5463876381631348,3.157643061042006,18.922082901000977,610.79681396484375,331.1429748535156,0.1676446830430708
1801010204,Lower Mad River,5.301937765630012,0.10036562213861087,99.8996343778614,0,0,0,0,0.3923650681972504,1.8341287053180364,5,4,18,1,1,1,1,5,0.6855316196141151,2.4616443113651685,3.337339162826538,540.16864013671875,320.78668212890625,0
1801010205,Big Lagoon-Frontal Pacific Ocean,1.4498680233927652,0,100,0,0,0,0,0.01726191118359565,0,8,4,16,1,1,1,1,6,0.4117765745306699,2.1671673678034624,0.02611494809389114,215.79869079589844,346.93511962890625,0
1801010206,Humboldt Bay-Frontal Pacific Ocean,8.54138681919609,0,100,0,0,0,0,-0.01959418877959251,0,8,4,16,1,1,1,1,5,0.6813874059833098,1.4099493747475869,0,116.52342224121094,381.3923034667969,0
1801010301,Rice Fork,86.72950109335771,99.7192133656555,0.2807866343444987,53.414398431777954,71.4384377002716,0,0,0.8131016492843628,0.15380140806141415,0,1,7,1,0,1,0,2,0.6730928978012165,3.539626741574706,5.733509540557861,442.9249267578125,533.2657470703125,0
1801010305,Bucknell Creek-Eel River,35.525978515696345,14.00419435840742,81.8806801706778,2.3711126297712326,5.386317893862724,0,0,0.7448102235794067,0.12724189324052357,3,1,9,1,1,1,0,3,0.7078020095723481,3.74094949352786,2.349118232727051,2304.79638671875,476.149658203125,0
1801010302,Corbin Creek-Eel River,94.30601377009016,90.67802815600956,8.936751280770972,15.509207546710968,21.750684082508087,0,0,0.7337813973426819,0.9405893930876564,1,1,7,1,1,1,0,3,0.7229544870868593,2.7001002878230893,24.181163787841797,405.0974731445313,542.4698486328125,0
1801010303,Tomki Creek,8.187904492494702,1.8822059583251376,98.11779404167488,0,0,0,0,0.683441162109375,0,3,1,6,1,1,1,0,3,0.6576230976815167,3.910410107081877,0.0426480807363987,2112.85107421875,511.6431884765625,0
1801010304,Outlet Creek,1.9314897606558297,2.060761954324432,97.93923804567557,0,0,0,0,0.2744596004486084,0,3,2,7,1,1,1,0,3,0.5743810189410512,2.7361173244016452,0.02470094338059425,525.71600341796875,491.4324951171875,0
1801010401,Black Butte River,86.46247592720927,97.59971817965015,2.2679257026659405,0,0,0,0,0.4645647704601288,0.02278430279403965,3,1,6,1,1,1,0,3,0.6427399750296303,2.528330371255125,42.35502243041992,198.0091094970703,496.2127685546875,0
1801010402,Upper Middle Fork Eel River,96.87943707836344,90.78654094080323,0.1776541086765948,0,0,0,0,0.8651032447814941,0.06310836322404495,3,1,6,1,1,1,0,3,0.45984524722679193,1.990242352273812,85.61809539794922,222.4121856689453,473.224853515625,0.1777542812024273
1801010403,Mill Creek,0.4255220352697558,0,99.9771273997219,0,0,0,0,0.35819190740585327,3.004810209665982e-4,2,1,6,1,1,1,0,3,0.5752504141894931,1.657770098400582,0.6034747958183289,827.9959716796875,568.48046875,0
1801010404,Elk Creek,69.16304509113564,72.49177243228922,27.508227567710776,0,0,0,0,0.719536304473877,0.5482819849668551,2,0,6,1,1,1,0,3,0.5506528999217045,2.7262394749123455,10.707929611206056,1443.118408203125,502.3469848632813,0
1801010405,Lower Middle Fork Eel River,35.650184079255574,23.720528991689356,69.91055193794237,0,0,0,0,0.6049787402153015,0.11082421086682592,3,1,7,1,1,1,0,3,0.5450119194068936,1.9759353641186015,6.982235431671143,2557.0732421875,486.0335693359375,0
1801010501,North Fork Eel River,49.865985402252115,59.35679738896327,40.627925459928186,0.416872464120388,0.8118902333080769,0,0,0.7835373282432556,0.0973935321577892,3,2,6,1,1,1,0,3,0.5001809595021502,1.843608774349367,5.772189617156982,449.7752075195313,436.8443298339844,0.2182491302613725
1801010502,Woodman Creek-Eel River,6.1169581155449135,0,99.963406680763,0,0,0,0,0.6369624733924866,0,3,1,9,1,1,1,0,3,0.4308275509687082,2.081385181436106,0.7813737988471985,519.1727294921875,482.5348815917969,0
1801010503,Dobbyn Creek,25.526297088212637,3.022757099117545,90.53067818817702,0,0,0,0,0.3554019629955292,0.05914872717974544,1,0,7,1,1,1,0,3,0.46589602767696703,1.9970076614053875,8.338761329650879,451.9417419433594,405.1463623046875,0.1432611258879882
1801010504,Chamise Creek-Eel River,4.32800779602171,13.402875352242448,85.44837434768462,0,0,0,0,0.4500528872013092,0,3,1,10,1,1,1,0,3,0.301308052051034,2.237866834995476,0.43485376238822937,275.1282958984375,465.8607482910156,0.16598750111006677
1801010505,Basin Creek-Eel River,1.2193942468813128,0,100,0,0,0,0,0.4782642126083374,0,3,2,12,1,1,1,0,3,0.46418445894458826,2.6675185240077437,0.02464980445802211,294.7008361816406,355.2637634277344,0
1801010506,Larabee Creek,0.9147455068324228,0,99.83754913843774,0,0,0,0,0.40268686413764954,0,3,3,10,1,1,1,0,3,0.567440317493044,2.8323749885653102,1.1861307621002195,275.86810302734375,356.8345947265625,0
1801010507,Upper Van Duzen River,68.977337284464,22.40544457871158,48.891110894078174,0,0,0,0,0.4063913822174072,1.1632612184115088,3,1,5,0,0,1,0,1,0.5252440894371935,2.639621194327624,19.801103591918945,375.69146728515625,351.23480224609375,1.2082547000073534
1801010508,Yager Creek,1.2122690892719452,0,100,0,0,0,0,0.4947838485240936,0,4,3,12,1,1,1,1,5,0.5488055440899258,2.545952429252708,0.4700029492378235,223.236083984375,349.06365966796875,0
1801010509,Lower Van Duzen River,8.466528545553206,0,94.33546057151558,0,0,0,0,0.3565961420536041,1.222731961101859,5,3,14,1,1,1,1,5,0.5433188231076763,3.0016738372584486,4.525142669677734,286.5887451171875,369.193115234375,0
1801010510,Price Creek-Eel River,0,0,100,0,0,0,0,0.13726092875003815,0,5,4,14,1,1,1,1,5,0.5374943626580613,2.558926063912458,0,184.58029174804688,374.398681640625,0
1801010601,Upper South Fork Eel River,18.433478144871213,0,85.9141891803481,0,0,0,0,0.4925000071525574,0,3,5,7,1,1,1,0,3,0.4368325586572594,2.575583025433056,0.323099285364151,397.3464050292969,423.1966857910156,0
1801010602,East Branch South Fork Eel River,8.224351156594638,0,97.28292237923148,0,0,0,0,0.505864679813385,0,2,1,7,1,1,1,0,3,0.2567779826059729,2.454436306928038,0.43097734451293945,304.35809326171875,418.32769775390625,0
1801020605,Iron Gate Reservoir-Klamath River,9.78027422910824,23.01595057271519,60.56105875895632,9.275434911251068,19.34663951396942,0,0,0.4393765330314636,0,3,0,10,1,1,1,0,3,0.13812656072495696,3.819284861672507,9.524049758911133,616.2257080078125,645.3975830078125,0
1801010105,Point Saint George-Frontal Pacific Ocean,1.3224503677026898,0,100,0,0,0,0,-0.08340910822153091,1.536223326406733e-4,5,4,17,1,1,1,1,6,1.5440777867002154e-4,1.9935987017767536,6.974046118557453e-4,50.52782440185547,458.2487487792969,0
1802011603,Kelsey Creek-Clear Lake,2.5973878976760676,6.203929490541527,91.18823275242936,0.9065289981663228,1.522293221205473,0,0,-0.3603303730487823,1.86939323296276e-5,1,4,10,0,0,1,0,1,0.5867462417167151,2.4700833620484626,0.07861191779375076,3795.003173828125,691.6015625,0
1802011604,North Fork Cache Creek,66.1301851525251,78.37169028252036,12.305930033569412,49.98946189880371,59.79461073875427,0,0,0.7829599976539612,1.7132224385481043,0,1,8,0,0,1,0,1,0.7472296656911327,2.58925707671153,0.4524730443954468,3120.211669921875,650.33172607421875,0
1802011605,Bear Creek,46.38666720508117,23.618856225959853,37.6046117888975,13.773345947265623,17.556120455265045,0,0,1.113423228263855,4.929731629570851,0,1,10,0,0,1,0,1,0.7935357273023226,3.0134802462872115,0.02189952135086059,5282.63525390625,755.75946044921875,0
1802011606,Upper Cache Creek,49.702009965575726,11.69818731638638,20.15461939702268,0,0,0,0,0.6335579752922058,0,1,2,10,0,0,1,0,1,0.6939973794922362,2.8663775471965756,0.00284441257826983,2134.797607421875,690.8564453125,0
1802011607,Lower Cache Creek,11.160374334821618,36.090092848674914,62.42215172245,0,0,0,0,0.5103874206542969,0,0,2,14,0,0,1,0,1,0.45750535973973766,3.5177857235597885,0,799.0576782226564,783.8565673828125,0
1802015101,Old Cow Creek,4.551291631188031,0,97.57883706683532,0,0,0,0,0.13510097563266754,0,3,2,5,0,1,1,0,2,0.6002766152024995,3.309643455744214,96.392913818359375,1885.954345703125,593.5650634765625,0
1802015202,Middle Fork Cottonwood Creek,29.605422460366636,15.504673896142316,60.91924743237585,0,0,0,0,0.8798443675041199,0.20970478356074815,3,1,8,0,1,1,0,2,0.6582331932451732,2.535873995174913,3.249797105789185,13453.8466796875,533.03753662109375,0.001151658811871
1802015103,Little Cow Creek,3.7523519515207058,0.8344998380579133,76.54092623445176,0.1738121616654098,0.5532232113182545,0,0,-0.02529055438935756,0.06329219845312903,3,2,12,0,1,1,0,2,0.2245976924077932,4.008940624741026,26.25984764099121,2013.705810546875,614.4002685546875,0
1802015104,Cow Creek,0.4173004073619614,0,100,0,0,0,0,0.41216832399368286,0,4,2,14,0,1,1,0,2,0.2063736846860134,3.8023177594548705,19.43404769897461,1178.683349609375,631.52581787109375,0
1802015201,Beegum Creek,75.31059669377838,81.36886886554277,17.796249111275586,0,1.873421183518e-4,0,0,0.7208497524261475,0.07783678867676286,3,1,5,0,1,1,0,2,0.7602711417206071,2.983611472163666,22.275907516479492,20350.890625,504.6145629882813,0.01258868980057926
1802015203,North Fork Cottonwood Creek,5.1239893969742925,55.137993466706114,28.553701143758985,4.746367782354355,9.955348819494247,0,0,0.9084834456443788,0,3,0,7,0,1,1,0,2,0.4140039167360161,2.9947068441671805,5.823822021484375,2894.36328125,573.4915771484375,0
1802015204,Upper South Fork Cottonwood Creek,83.88040806348315,96.73643905738795,3.2593984197256676,2.45080329477787,3.853895887732506,0,0,0.9894701838493348,0.03182957245681141,2,0,3,0,1,1,0,2,0.6481731487318013,1.98024228926159,49.40855407714844,422.58837890625,492.1788635253906,0
1802015205,Cold Fork,31.67283930401265,67.82615604927459,32.173843950725434,0,0,0,0,1.084372878074646,0.25380986826001356,2,0,3,0,1,1,0,2,0.6019125884643725,1.9269303464254448,12.842578887939451,9936.3583984375,578.37982177734375,0
1802015206,Dry Creek,5.139278748714564,48.19583241754221,49.1403281059351,0,0,0,0,1.0687599182128906,0.5380995199715327,1,1,8,0,0,1,0,1,0.5457726555541813,2.147114972058453,1.2123446464538574,18746.076171875,641.34918212890625,0
1802015207,Lower South Fork Cottonwood Creek,4.044894962407115,26.185203063125332,73.81479693687467,0,0,0,0,0.8528451323509216,0.00658883035453345,3,1,13,0,1,1,0,2,0.3921428263169826,2.4441003317196563,0.7704938650131226,3320.2763671875,664.35906982421875,0
1802015208,Cottonwood Creek,0.13627021940622103,2.510265878070971,92.68983794471993,0.03254927869420498,0.06678220815956593,0,0,0.5465035438537598,0,4,1,14,0,1,1,0,2,0.09152666550888428,2.807454317234943,0,1672.291015625,669.7095947265625,0
1802015401,Clear Creek,64.14134088249197,88.2088019234977,10.766252996298777,36.3920122385025,60.964202880859375,0,0,0.5507609248161316,0.03036306691176245,4,2,10,0,1,1,0,2,0.5755574955487693,2.847732460949467,7.466299533843994,781.45928955078125,499.1496276855469,0
1802015402,Stillwater Creek,4.252390637328798,14.0698125814587,71.65987576100687,5.810275673866272,11.114044487476349,0,0,-0.12078893184661864,0.0681209630774814,3,2,12,0,1,1,0,2,0.01180118404338641,3.4008924367904787,0,919.8511962890624,657.15802001953125,0
1802015403,Churn Creek-Sacramento River,23.244561011193785,24.079960441431545,69.35334791601228,13.055196404457092,19.74484622478485,0,0,-0.7411460280418396,0.45307717361962374,4,2,17,0,1,1,0,2,0.05882351495324772,2.851572050261299,0.17689555883407593,1743.3553466796875,683.85430908203125,0
1802015404,Bear Creek,3.239166749893729,0,98.61881238346646,0,0,0,0,0.33963775634765625,0,4,0,14,0,1,1,0,2,0.4752687871626698,3.678613717202785,4.659369945526123,1747.10009765625,605.571533203125,0
1802015405,Ash Creek-Sacramento River,0.9684039051781658,0,98.38309477740266,0,0,0,0,0.5036195516586304,0,4,1,17,0,1,1,0,2,0.10282167482208827,3.5969129430486886,0.06252886354923248,1061.787109375,684.86859130859375,0
1802015502,Reeds Creek,0.15699194899515242,0,99.87402375056404,0,0,0,0,0.6042384505271912,0,3,0,11,0,1,1,0,2,0.12606727836322967,2.819319846784038,0,902.6112670898436,693.64898681640625,0
1802015503,Red Bank Creek,7.762746627995493,17.741606839033302,77.84517921178782,0,0,0,0,1.0099841356277466,0,3,2,12,0,1,1,0,2,0.4306133093898144,2.401270485182639,0.3738760948181152,4152.4326171875,690.1358642578125,0
1802015504,Dibble Creek-Sacramento River,14.293937339732391,1.3911634954230925,86.97538266886764,0,0,0,0,0.5641205906867981,0,4,1,17,0,1,1,0,2,0.07714481440432593,3.5607459092229496,0,991.260986328125,673.68365478515625,0
1802015604,Upper Thomes Creek,63.23625255728814,92.7586389659259,2.008503875619072,0,0,0,0,0.5977776050567627,0.04055507261715879,2,1,5,0,1,1,0,2,0.675693089206783,1.6981197900247165,61.52346420288086,1272.052734375,604.11871337890625,0.0624706111781027
1802015602,Elder Creek,14.38985782601278,9.4760172959701,88.81591838341193,0,0,0,0,0.9012682437896729,0,4,0,13,0,1,1,0,2,0.5893258308005558,2.4732006650864955,11.44151782989502,8871.3310546875,657.83172607421875,0.00434649459713843
1802015605,Lower Thomes Creek,3.1752452694774083,2.7414414895756507,91.00272722402454,0,0,0,0,0.9532172083854676,0,4,1,14,0,1,1,0,2,0.4513978985936869,3.1320910147719907,0.01386454235762357,1884.9910888671875,715.34521484375,0
1801020909,Blue Creek,80.6264087959042,12.614575909350886,41.01957237461609,0.9657845832407476,2.685506083071232,7.131075859069824,0.10346157941967248,0.9206076264381408,0.2560483961601069,3,3,18,1,1,1,1,6,0.42232035975320614,2.9647578072273397,28.360370635986328,4211.08203125,270.11431884765625,0
1801020906,Ukonom Creek-Klamath River,97.73389214680948,83.94693218157792,8.119134558374297,15.62386155128479,32.68935978412628,13.538633286952972,1.9431805238127708,0.7891359329223633,0.3517248544108135,6,3,13,1,1,1,0,3,0.622092561926913,2.0372316386820297,36.649749755859375,3439.56494140625,342.68438720703125,0.1745996802452549
1801020907,Rock Creek-Klamath River,97.92538316823892,33.654316493145,51.307183874633225,4.528738930821419,11.628670245409012,13.68999183177948,0.10289293713867664,0.5461158752441406,0.42832633364844946,5,4,14,1,1,1,0,3,0.726778817432976,1.694680089412531,16.241344451904297,4137.30517578125,291.17608642578125,0.1961007745954404
1801020908,Bluff Creek-Klamath River,92.1228183869546,25.014581875346476,72.58756007328415,3.1604237854480743,7.217926532030106,10.174979269504547,0.01304143370361998,0.6307117342948914,0.2075975963445341,5,4,17,1,1,1,0,4,0.7986196487489311,2.593563990740751,24.356582641601563,4655.47998046875,317.6555480957031,0.02123436017394663
1801020910,Tectah Creek-Klamath River,4.462552957685031,0.01985636680695239,99.09243622853104,0.0040018592699198,0.01119199732784181,0.01353144325548783,0,0.4985224604606629,0.437097950810492,4,4,19,1,1,1,1,6,0.48923905310628346,2.6764491140772244,3.225595474243164,993.1666259765624,306.989990234375,0.00161288279229657
1801020911,Turwar Creek-Klamath River,6.0532973281264395,0,100,0,0,0,0,0.2980734705924988,2.652269257138724,6,4,24,1,1,1,1,7,0.03119493841618598,2.9067158716963224,0.6086889505386353,741.4541015625,326.0617370605469,0
1801021001,South Fork Salmon River,98.53172438954742,63.07798437978487,35.448617531665825,1.7476381734013555,4.5159656554460526,0,0.01050247810781002,0.922143578529358,0.17313144427239083,4,2,9,1,1,1,0,3,0.7461635252142022,2.387082452472475,200.91696166992188,7182.8115234375,377.9510498046875,0.01139346921862027
1801021002,North Fork Salmon River,98.49259126774648,41.83196417265432,25.837270819368573,10.030919313430786,18.920375406742096,1.2288602069020271,3.295357897877693,1.0140944719314575,0.16106119093183138,5,3,9,1,1,1,0,3,0.7560883343915435,2.3905843983095334,204.37155151367188,1515.535888671875,397.7957763671875,0.4054407166890545
1801021003,Wooley Creek,99.8453847472047,52.51154165045433,9.668111999426642,7.699883729219437,17.099565267562866,1.306816190481186,0.4518440458923578,1.1945546865463257,0.2466651282585344,4,2,10,1,1,1,0,3,0.7390440897466122,2.7209813161484013,186.5004425048828,6835.38720703125,409.8748168945313,1.2447748625817068
1801021004,Salmon River,99.25964675880503,25.784527761227903,4.728832354634194,3.3423975110054016,7.469680160284042,7.976150512695312,0.87657505646348,1.1313517093658447,0.12330908824752104,4,2,15,1,1,1,0,4,0.7242693456225975,2.2726758281910944,55.26156234741211,4034.071044921875,378.3364562988281,0.00257204224705099
1801021101,Coffee Creek,91.65617138347623,87.86982160267462,12.130178397325386,0,0,0,0,0.9784611463546752,3.027951478648479,0,3,5,0,0,1,0,1,0.7443576640737944,2.014404506250351,587.14630126953125,4619.98046875,415.9146728515625,0.6975181661283376
1801021102,Tangle Blue Creek-Trinity River,70.42730716761135,3.6459041228364946,96.3540958771635,0,0,0,0,0.4851117432117462,3.8143576127401055,1,3,5,0,0,1,0,2,0.7642966145933856,2.6566010040479675,423.5851745605469,1873.257080078125,405.5968017578125,1.0324306365788676
1801021103,East Fork Trinity River,54.03459893066046,9.6902985934606,90.3097014065394,4.448100179433823,6.737130135297775,0,0,0.33062344789505005,1.4836673822843125,0,3,5,0,0,1,0,1,0.6994038350150634,2.5682538830981723,304.21484375,1819.2042236328125,388.1539916992187,0.6141833326386197
1801021104,Stuart Fork,78.58762107863438,4.885590113628283,95.1144098863716,1.694333739578724,2.757081761956215,4.334796592593193,0,0.5416315197944641,1.2505132562220074,1,2,5,0,0,1,0,1,0.8203801577664451,2.5038766858592405,282.6730651855469,5288.48486328125,396.1855773925781,0.3379637943937144
1801021105,Swift Creek-Trinity River,67.80496085527135,7.640132289780864,92.23360298093328,2.316531538963318,4.0378231555223465,0,0,0.4260371327400207,1.6949023282178708,0,2,8,1,0,1,0,2,0.8106458913721621,2.215907663159254,171.8748779296875,2779.2373046875,366.0397033691406,0.16943203258853226
1801021106,Browns Creek,30.31415262326416,0,90.2677239324428,0,0,0,0,0.06061479449272156,0.00799462780231227,5,2,9,1,1,1,0,3,0.841985194412097,2.5656093448300763,12.900435447692873,14532.275390625,396.4935607910156,0.10149423813232288
1801021107,Weaver Creek-Trinity River,43.60982753604445,11.552192815287828,84.17749646900563,3.301582485437393,6.312749534845352,0,0,0.03987574577331543,0.1817701504448521,4,2,9,1,1,1,0,3,0.8320370372869644,2.6407466538777946,27.66880226135254,8720.77734375,391.74017333984375,0.287850391037806
1801021108,Canyon Creek,97.15178158689392,34.43127401152287,65.53729983975893,7.421089708805084,11.94821000099182,0,0,0.9863995909690856,0.20439083088730084,5,2,9,1,1,1,0,3,0.7775371101734145,3.0017052801467545,291.83050537109375,3330.32666015625,439.2146606445313,0
1801021109,North Fork Trinity River,99.33066843360582,48.36099663211065,31.445279851933204,0.02536288811825215,0.08021541871130466,0,0,1.120418906211853,0.07734247063659878,5,1,8,1,1,1,0,3,0.7630204325202631,3.437091330653594,198.16717529296875,11187.8583984375,448.3470458984375,0.0063256788395806
1801021110,New River,99.3142770335715,46.441052467919974,1.223731223961766,12.093951553106308,21.08382135629654,0,0.05180156440474093,1.1048310995101929,0.01079470218636794,5,2,10,1,1,1,0,3,0.7827501969449303,3.3430916291033026,61.94170379638672,2609.1201171875,377.1244201660156,0.0704215562159289
1801021111,Big French Creek-Trinity River,84.82479421735019,78.90333336033417,17.25613733017144,1.1860075406730175,2.996755763888359,0,0.01173210112028755,0.5095070600509644,0.17261150135388728,5,3,13,1,1,1,0,4,0.8283771314900096,2.9868318406631595,16.323333740234375,7151.22705078125,372.6326904296875,0.1713623371121206
1801021112,Horse Linto Creek-Trinity River,48.0155567006686,31.374676158879765,58.51269644222177,4.605211317539215,8.857154101133347,0.00658920034766197,2.302958443760872,0.4204249382019043,0.2806429664242823,4,4,15,1,1,1,0,4,0.7374274993604559,2.461867520189077,28.993436813354492,2406.16650390625,348.444091796875,0.25929538089229504
1801021204,Middle South Fork Trinity River,88.56498291928676,36.257275160354816,38.666273524862675,0,0,0,0,0.22925470769405365,0.5490451320291361,5,3,9,1,1,1,0,3,0.8754568209183089,3.04407102812446,16.0073184967041,3450.399658203125,434.4162902832031,0.16832928723466786
1801021201,Upper South Fork Trinity River,96.68790572309707,97.49598442688568,2.3305159186911673,2.763500064611435,5.3335342556238174,0,0,0.5281102657318115,0.03625264046317618,5,2,8,1,1,1,0,3,0.6857493149456692,3.1019194017936167,39.143550872802734,352.6659240722656,403.5818481445313,0.15797264296729233
